Data,Nuovi Casi,Incidenza Settimanale per 100.000 abitanti
08/11/2020,38,708.02
09/11/2020,0,488.63
10/11/2020,14,628.24
11/11/2020,9,698.05
12/11/2020,4,658.16
13/11/2020,12,767.85
14/11/2020,0,767.85
15/11/2020,21,598.32
16/11/2020,3,628.24
17/11/2020,2,508.58
18/11/2020,7,488.63
19/11/2020,7,518.55
20/11/2020,1,408.86
21/11/2020,0,408.86
22/11/2020,13,329.08
23/11/2020,3,329.08
24/11/2020,2,329.08
25/11/2020,2,279.22
26/11/2020,1,219.39
27/11/2020,0,209.41
28/11/2020,2,229.36
29/11/2020,0,99.72
30/11/2020,15,219.39
01/12/2020,8,279.22
02/12/2020,0,259.27
03/12/2020,3,279.22
04/12/2020,2,299.16
05/12/2020,0,279.22
06/12/2020,0,279.22
07/12/2020,2,149.58
08/12/2020,0,69.80
09/12/2020,0,69.80
10/12/2020,3,69.80
11/12/2020,0,49.86
12/12/2020,0,49.86
13/12/2020,0,49.86
14/12/2020,0,29.92
15/12/2020,0,29.92
16/12/2020,0,29.92
17/12/2020,2,19.94
18/12/2020,0,19.94
19/12/2020,2,39.89
20/12/2020,1,49.86
21/12/2020,1,59.83
22/12/2020,1,69.80
23/12/2020,0,69.80
24/12/2020,3,79.78
25/12/2020,0,79.78
26/12/2020,0,59.83
27/12/2020,0,49.86
28/12/2020,4,79.78
29/12/2020,1,79.78
30/12/2020,3,109.69
31/12/2020,10,179.50
01/01/2021,0,179.50
02/01/2021,2,199.44
03/01/2021,0,199.44
04/01/2021,3,189.47
05/01/2021,8,259.27
06/01/2021,0,229.36
07/01/2021,9,219.39
08/01/2021,0,219.39
09/01/2021,3,229.36
10/01/2021,0,229.36
11/01/2021,15,349.02
12/01/2021,1,279.22
13/01/2021,3,309.13
14/01/2021,8,299.16
15/01/2021,4,339.05
16/01/2021,1,319.11
17/01/2021,5,368.97
18/01/2021,2,239.33
19/01/2021,5,279.22
20/01/2021,12,368.97
21/01/2021,3,319.11
22/01/2021,2,299.16
23/01/2021,2,309.13
24/01/2021,0,259.27
25/01/2021,3,269.25
26/01/2021,2,239.33
27/01/2021,4,159.55
28/01/2021,1,139.61
29/01/2021,1,129.64
30/01/2021,1,119.66
31/01/2021,0,119.66
01/02/2021,0,89.75
02/02/2021,0,69.80
03/02/2021,1,39.89
04/02/2021,0,29.92
05/02/2021,1,29.92
06/02/2021,0,19.94
07/02/2021,0,19.94
08/02/2021,0,19.94
09/02/2021,0,19.94
10/02/2021,0,9.97
11/02/2021,0,9.97
12/02/2021,0,0.00
13/02/2021,0,0.00
14/02/2021,0,0.00
15/02/2021,1,9.97
16/02/2021,0,9.97
17/02/2021,2,29.92
18/02/2021,1,39.89
19/02/2021,0,39.89
20/02/2021,1,49.86
21/02/2021,0,49.86
22/02/2021,0,39.89
23/02/2021,2,59.83
24/02/2021,1,49.86
